link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,agent_type_code,geometry
,West Rio Salado Parkway,69,16,,1,1,0.363826165,1,60,1800,,"LINESTRING (-111.947341 33.430820 ,-111.943057 33.429669 )"
,North Scottsdale Road,77,3742,,1,1,0.029863174,1,60,1800,,"LINESTRING (-111.926332 33.440287 ,-111.926338 33.440719 )"
,North Scottsdale Road,3742,77,,1,1,0.029863174,1,60,1800,,"LINESTRING (-111.926338 33.440719 ,-111.926332 33.440287 )"
,East Curry Road,77,499,,1,1,0.063690706,1,60,1800,,"LINESTRING (-111.926332 33.440287 ,-111.925236 33.440272 )"
,East Curry Road,77,2990,,1,1,0.256850634,1,60,1800,,"LINESTRING (-111.926332 33.440287 ,-111.930786 33.440222 )"
,East Curry Road,2990,77,,1,1,0.256850634,1,60,1800,,"LINESTRING (-111.930786 33.440221 ,-111.926332 33.440287 )"
,North Scottsdale Road,77,953,,1,1,0.150521332,1,60,1800,,"LINESTRING (-111.926332 33.440287 ,-111.926291 33.438109 )"
,North Scottsdale Road,953,77,,1,1,0.150521332,1,60,1800,,"LINESTRING (-111.926290 33.438109 ,-111.926332 33.440287 )"
,East Solana Drive,106,2431,,1,1,0.142573974,1,60,1800,,"LINESTRING (-111.931257 33.408460 ,-111.933729 33.408446 )"
,East Solana Drive,2431,106,,1,1,0.142573974,1,60,1800,,"LINESTRING (-111.933729 33.408445 ,-111.931257 33.408460 )"
,['South el Camino Drive'  'South Sierra Vista Drive'  'Eas Broadway Lane'],106,2431,,1,1,0.276659997,1,60,1800,,"LINESTRING (-111.931257 33.408460 ,-111.933729 33.408446 )"
,['South el Camino Drive'  'South Sierra Vista Drive'  'Eas Broadway Lane'],2431,106,,1,1,0.276659997,1,60,1800,,"LINESTRING (-111.933729 33.408445 ,-111.931257 33.408460 )"
,South Sierra Vista Drive,106,4603,,1,1,0.061640175,1,60,1800,,"LINESTRING (-111.931257 33.408460 ,-111.931144 33.409333 )"
,South Sierra Vista Drive,4603,106,,1,1,0.061640175,1,60,1800,,"LINESTRING (-111.931145 33.409333 ,-111.931257 33.408460 )"
,South Sierra Vista Drive,109,979,,1,1,0.006226155,1,60,1800,,"LINESTRING (-111.931138 33.407523 ,-111.931138 33.407433 )"
,South Sierra Vista Drive,979,109,,1,1,0.006226155,1,60,1800,,"LINESTRING (-111.931138 33.407433 ,-111.931138 33.407523 )"
